"CALL","QSO_DATE","TIME_ON","TIME_OFF","BAND","MODE","RST_SENT","RST_RCVD","QSL_SENT","QSL_SENT_VIA","APP_EQSL_AG","GRIDSQUARE","STATION_CALLSIGN","FREQ","CONTEST_ID","FREQ_RX","OPERATOR","CQZ","STX","APP_N1MM_POINTS","APP_N1MM_RADIO_NR","APP_N1MM_CONTINENT","APP_N1MM_RUN1RUN2","APP_N1MM_RADIOINTERFACED","APP_N1MM_ISORIGINAL","APP_N1MM_NETBIOSNAME","APP_N1MM_ISRUNQSO","APP_N1MM_ID","APP_N1MM_CLAIMEDQSO","SWL","QSLMSG_INTL","QSLMSG","TX_PWR"
"DK6JM","19980411","1711",,"40M","SSB","59","","Y","E","Y","jo31jg",,,,,,,,,,,,,,,,,,,,,
"9M8CC","19980422","1500",,"15M","SSB","59","","Y","E","Y","OJ51",,,,,,,,,,,,,,,,,,,,,
"PY1SX","19980429","1905",,"10M","SSB","59","","Y","E","Y","GG87mn",,,,,,,,,,,,,,,,,,,"Tnx for e-qsl, 73?sss.<",,
"G4YWY","19980623","1112",,"17M","SSB","59","","Y","E","Y","IO90BU",,,,,,,,,,,,,,,,,,,,"TNX QSO",
"OH2HMA","19990103","1223",,"15M","SSB","59","","Y","E",,"kp20ie",,,,,,,,,,,,,,,,,,,,,
"CX5ABM","19990517","1738",,"10M","SSB","57","","Y","E","Y","GF15UE",,,,,,,,,,,,,,,,,,,,,
"SP9QLO","19990517","1851",,"10M","SSB","59","","Y","E",,"jo90mg",,,,,,,,,,,,,,,,,,,,,
"RU3WR","20000229","0826",,"10m","SSB","59","","Y","E","Y","KO81CR",,,,,,,,,,,,,,,,,,,,,
"HA5BSC","20010618","2009",,"10M","PSK","579","","Y","E","Y","JN97MK",,,,,,,,,,,,,,,,,,,,,
"US4IGH","20020404","1136",,"10M","SSB","59","","Y","E","Y","KN88QE",,,,,,,,,,,,,,,,,,,,,
"SN4EU","20040508","1204",,"10M","SSB","59","","Y","E","Y","JO94RE",,,,,,,,,,,,,,,,,,,,,
"SM7RYO","20040508","1240",,"10M","SSB","57","","Y","E","Y","JO76DB",,,,,,,,,,,,,,,,,,,,,
"SN4EU","20040508","1405",,"10M","SSB","59","","Y","E","Y","JO94RE",,,,,,,,,,,,,,,,,,,,,
"SM7RYO","20040508","1445",,"10M","SSB","57","","Y","E","Y","JO76DB",,,,,,,,,,,,,,,,,,,,,
"LY2004A","20040508","1500",,"17M","SSB","5-9","","Y","E","Y","ko14wv",,,,,,,,,,,,,,,,,,,,"Best 73, reg",
"EP4HR","20050408","1221",,"17M","SSB","55","","Y","E","Y","ll60go",,,,,,,,,,,,,,,,,,,,,
"EP4HR","20050408","1222",,"17M","SSB","55","","Y","E","Y","ll60go",,,,,,,,,,,,,,,,,,,,,
"EP4HR","20050408","1423",,"17M","SSB","59","","Y","E","Y","ll60go",,,,,,,,,,,,,,,,,,,,,
"EA3BFX","20050418","1816",,"10M","SSB","59","","Y","E",,"jn11em",,,,,,,,,,,,,,,,,,,,"thanks for qso. 73 of antonio",
"RW3LG/MM","20050506","1655",,"17M","SSB","56","","Y","E","Y","II54",,,,,,,,,,,,,,,,,,,,"TNX For QSO TU 73!.",
"S55O","20050515","1426",,"17M","SSB","58","","Y","E","Y","JN65UV",,,,,,,,,,,,,,,,,,,,,"100.0000"
"SE7BZV","20050519","1802",,"10M","SSB","59","","Y","E","Y","JO67XU",,,,,,,,,,,,,,,,,,,,,
"F4DSD","20050519","1808",,"10M","SSB","59","","Y","E",,"jn23jp",,,,,,,,,,,,,,,,,,,,"73",
"EW8AM","20050520","1450",,"10M","SSB","59","","Y","E","Y","KO52AA",,,,,,,,,,,,,,,,,,,,"http://my.opera.com/EW8AM/albums/",
"SQ5TA","20050520","1624",,"10M","SSB","59","","Y","E","Y","KO01NI",,,,,,,,,,,,,,,,,,,,,
"EI9FBB","20050522","1233",,"10M","SSB","59","","Y","E","Y","IO51sv",,,,,,,,,,,,,,,,,,,,,
"YU1AAV","20050601","1237",,"10M","SSB","59","","Y","E","Y","kn04et",,,,,,,,,,,,,,,,,,,,,
"LY1TR","20050601","1804",,"10M","SSB","59","","Y","E","Y","KO15DX",,,,,,,,,,,,,,,,,,,,"Best 73, reg",
"F8ASG","20050703","1413",,"20M","SSB","59","","Y","E","Y","JN19AG",,,,,,,,,,,,,,,,,,,,,
"SM0PSO","20050703","1720",,"10M","SSB","57","","Y","E",,"jo89xi",,,,,,,,,,,,,,,,,,,,,
"F8ASG","20050703","1813",,"20M","SSB","59","","Y","E","Y","JN19AG",,,,,,,,,,,,,,,,,,,,"TNX FOR NICE QSO BEST 73",
"CT1BOL","20050703","1829",,"10M","SSB","59","","Y","E","Y","IN51qd",,,,,,,,,,,,,,,,,,,,,
"F8ASG","20050703","2013",,"20M","SSB","59","","Y","E","Y","JN19AG",,,,,,,,,,,,,,,,,,,,,"1200.0000"
"F4DSK","20050705","1744",,"10M","SSB","41","","Y","E","Y","JN17jo",,,,,,,,,,,,,,,,,,,,,
"5B4AHL","20050705","2016",,"15M","SSB","57","","Y","E","Y","km64gv",,,,,,,,,,,,,,,,,,,,,
"5B4AHL","20050705","2019",,"15M","SSB","59","","Y","E","Y","km64gv",,,,,,,,,,,,,,,,,,,,,
"G6PHH","20050713","0752",,"40M","SSB","59","","Y","E",,"IO91LV",,,,,,,,,,,,,,,,,,,,"Thanks fer card Reg, 73s",
"PD7PJS","20050728","1833",,"2M","SSB","59","","Y","E",,"JO22MD",,,,,,,,,,,,,,,,,,,,,
"PA3GGB","20050824","0830",,"2M","FM","59","","Y","E",,"JO32ir",,,,,,,,,,,,,,,,,,,,,
"IK3OYY","20050831","0925",,"20M","SSB","59","","Y","E",,"JN55VG",,,,,,,,,,,,,,,,,,,,,
"PA3D","20050912","1933",,"2M","SSB","59","","Y","E","Y","jo21hs",,,,,,,,,,,,,,,,,,,,,
"GB2PPS","20050917","0912",,"40M","SSB","59","","Y","E",,"IO93KB",,,,,,,,,,,,,,,,,,,,,
"OO3CYV","20050918","0816",,"2M","SSB","59","","Y","E",,"JO21IJ",,,,,,,,,,,,,,,,,,,,"PS ALSO QSL VIA BURO for mij collection",
"EA7FTR","20050918","1856",,"20M","SSB","59","","Y","E","Y","IM67LG",,,,,,,,,,,,,,,,,,,,,
"9H3YM","20050924","1320",,"17M","SSB","59","","Y","E","Y","JM75FW",,,,,,,,,,,,,,,,,,,,,
"SV8/DL4JWU","20051005","0842",,"20M","SSB","59","","Y","E","Y","JM99VQ",,,,,,,,,,,,,,,,,,,,"tnx eqsl pse alo paper qsl mine was sent via buro tnx 73!",
"YO3AIS","20051020","1445",,"17M","SSB","59","","Y","E","Y","kn34aj",,,,,,,,,,,,,,,,,,,,,
"YO5QCT","20051024","1806",,"40M","SSB","59","","Y","E",,"KN27FC",,,,,,,,,,,,,,,,,,,,,
"ON8VT","20051102","1645",,"17M","SSB","59","","Y","E","Y","JO21oa",,,,,,,,,,,,,,,,,,,,,
"PC0C","20051105","1254",,"80M","SSB","59","","Y","E","Y","JO22fd",,,,,,,,,,,,,,,,,,,,,
"NL8992","20051105","1410",,"80m","SSB","5.8-9+5","","Y","E","Y","JO32fl",,,,,,,,,,,,,,,,,,,,"Wkd: PC6REC. Goede modulatie. QRN S3-4. Ant: 10 m wire vertical up in big tree.",
"PA0ADP","20051113","0906",,"80M","SSB","59","","Y","E","Y","jo21ut",,,,,,,,,,,,,,,,,,,,,
"PA0MIR","20051113","0907",,"80M","SSB","59","","Y","E","Y","JO22LL",,,"PA beker contest",,,,,,,,,,,,,,,,,,
"PH7J","20051113","0928",,"80M","SSB","59","","Y","E","Y","jo21bu",,,,,,,,,,,,,,,,,,,,,
"PA2AM","20051113","1002",,"80M","SSB","59","","Y","E","Y","JO21",,,,,,,,,,,,,,,,,,,,,
"PG7V","20051113","1005",,"80M","SSB","59","","Y","E","Y","JO22",,,,,,,,,,,,,,,,,,,,,
"PE2AE","20051113","1007",,"80M","SSB","59","","Y","E","Y","JO33ha",,,,,,,,,,,,,,,,,,,,,
"PA5P","20051113","1014",,"80M","SSB","59","","Y","E","Y","JO32BF",,,,,,,,,,,,,,,,,,,,,
"PA0LSK","20051113","1018",,"40M","SSB","59","","Y","E","Y","JO21UR",,,,,,,,,,,,,,,,,,,,,
"PH7J","20051113","1025",,"40M","SSB","59","","Y","E","Y","jo21bu",,,,,,,,,,,,,,,,,,,,,
"PE2AE","20051113","1114",,"40M","SSB","59","","Y","E","Y","JO33ha",,,,,,,,,,,,,,,,,,,,,
"LY3BW","20051116","1014",,"20M","SSB","59","","Y","E","Y","ko14xw",,,,,,,,,,,,,,,,,,,,,
"PI4VGZ","20051127","1100",,"2M","FM","59","","Y","E",,"jo22of",,,,,,,,,,,,,,,,,,,,,
"OZ7AEI","20051130","1205",,"40M","SSB","59","","Y","E",,"JO46IJ",,,,,,,,,,,,,,,,,,,,,
"UR4IOR","20051203","1027",,"17M","SSB","59","","Y","E","Y","KN88VA",,,,,,,,,,,,,,,,,,,,,
"T96C","20060621","0856",,"10M","SSB","","","Y","E","Y","JN84OS",,,,,,,,,,,,,,,,,,,,,
"PJ2GT","20060713","2203",,"20M","SSB","57","","Y","E","Y","FK52MC",,,,,,,,,,,,,,,,,,,,,
"7S6EM","20060812","2053",,"10M","SSB","59","","Y","E","Y","JO67AQ",,,,,,,,,,,,,,,,,,,,,
"S53EO","20060813","1355",,"10M","SSB","59","","Y","E","Y","JN65TM",,,,,,,,,,,,,,,,,,,,,
"PY2CX","20060814","1632",,"10M","SSB","59","","Y","E","Y","gg66qm",,,,,,,,,,,,,,,,,,,,,
"PY2CX","20060814","1854",,"10M","SSB","59","","Y","E","Y","gg66qm",,,,,,,,,,,,,,,,,,,,,
"ES5YG","20060817","1921",,"20M","SSB","55","","Y","E","Y","KO38ih",,,,,,,,,,,,,,,,,,,,,
"MM0MWW/P","20060819","1342",,"17M","SSB","59","","Y","E","Y","IO89",,,,,,,,,,,,,,,,,,,,,
"PA6LST","20060819","1406",,"2M","FM","59","","Y","E",,"jo22jw",,,,,,,,,,,,,,,,,,,,,
"MM0GPZ","20060821","1159",,"10M","SSB","59","","Y","E","Y","IO75WS",,,,,,,,,,,,,,,,,,,,"Many thanks for 10m contact. Best wishes from Scotland.",
"MM0ODI","20060821","1202",,"10M","SSB","59","","Y","E","Y","IO75wv",,,,,,,,,,,,,,,,,,,,,
"E20WXA","20060916","1748",,"20M","SSB","59","","Y","E",,"ok03",,,,,,,,,,,,,,,,,,,,,
"S58MU","20060920","0653",,"40M","SSB","59","","Y","E","Y","JN76xi",,,,,,,,,,,,,,,,,,,,,
"PA3GGB","20060925","0907",,"2M","FM","59","","Y","E",,"JO32ir",,,,,,,,,,,,,,,,,,,,,
"MS0SCG","20060925","1426",,"20M","SSB","57","","Y","E","Y","nm41",,,,,,,,,,,,,,,,,,,,,
"MS0SCG","20060925","1427",,"20M","SSB","59","","Y","E","Y","nm41",,,,,,,,,,,,,,,,,,,,"Nice to work you 73",
"9A60CVW","20060925","1658",,"40M","SSB","59","","Y","E",,"jn75",,,,,,,,,,,,,,,,,,,,,"100.0000"
"9H3YM","20060926","0846",,"20M","SSB","59","","Y","E","Y","JM75FW",,,,,,,,,,,,,,,,,,,,,
"5B4AHY","20061012","1116",,"15M","SSB","59","","Y","E","Y","KM64gs",,,,,,,,,,,,,,,,,,,,"73 David from sunny Cyprus",
"EB7AEY","20061012","1638",,"20M","SSB","59","","Y","E","Y","IM67LG",,,,,,,,,,,,,,,,,,,,,
"EB7AEY","20061012","1640",,"20M","SSB","59","","Y","E","Y","IM67LG",,,,,,,,,,,,,,,,,,,,,
"EB7DX","20061012","1640",,"20M","SSB","59","","Y","E","Y","IM67LG",,,,,,,,,,,,,,,,,,,,,
"EM750W","20061017","1041",,"20M","SSB","59","","Y","E","Y","KN29",,,,,,,,,,,,,,,,,,,,,
"G1UNQ","20061023","1023",,"10M","SSB","59","","Y","E",,"io92bc",,,,,,,,,,,,,,,,,,,,,
"IY1TTM","20061029","1204",,"17M","SSB","59","","Y","E",,"JN44QG",,,,,,,,,,,,,,,,,,,,,
"YO3AIS","20061101","1248",,"17M","SSB","59","","Y","E","Y","kn34aj",,,,,,,,,,,,,,,,,,,,,
"OM5DP","20061103","1507",,"17M","SSB","59","","Y","E","Y","JN97BW",,,,,,,,,,,,,,,,,,,,,
"EC2ADN","20061105","1042",,"20M","SSB","59","","Y","E","Y","IN83lh",,,,,,,,,,,,,,,,,,,,,"0.0000"
"DM2HB","20061107","1748",,"2M","SSB","59","","Y","E","Y","JO41DQ",,,,,,,,,,,,,,,,,,,,"pse qsl card via bureau 73 de Hermann",
"EB7DX","20061121","1533",,"20M","SSB","59","","Y","E","Y","IM67LG",,,,,,,,,,,,,,,,,,,,,
"EH7FCI","20061121","1533",,"20M","SSB","59","","Y","E","Y","IM67LG",,,,,,,,,,,,,,,,,,,,,
"UN7MMM","20061122","1035",,"20M","SSB","59","","Y","E","Y","LO61md",,,,,,,,,,,,,,,,,,,,,
"A47RS","20061123","1055",,"15M","SSB","58","","Y","E",,"LL93f",,,,,,,,,,,,,,,,,,,,,
"PI4FLD","20061126","1040",,"2M","FM","59","","Y","E",,"JO22OI",,,,,,,,,,,,,,,,,,,,,
"PI4VGZ","20061126","1050",,"2M","FM","59","","Y","E",,"jo22of",,,,,,,,,,,,,,,,,,,,,
"PI4YSM","20061126","1235",,"2M","FM","59","","Y","E",,"JO32EM",,,,,,,,,,,,,,,,,,,,,
"PI4AVG","20061126","1416",,"80M","SSB","59","","Y","E",,"JO32ea",,,,,,,,,,,,,,,,,,,,"thanks fot the qsl",
"5A7A","20061127","1512",,"17M","SSB","59","","Y","E","Y","JM62MU",,,,,,,,,,,,,,,,,,,,,
"5A7A","20061128","1212",,"15M","SSB","59","","Y","E","Y","JM62MU",,,,,,,,,,,,,,,,,,,,,
"5A7A","20061128","1224",,"20M","SSB","59","","Y","E","Y","JM62MU",,,,,,,,,,,,,,,,,,,,,
"SV2GWY","20070317","1032",,"20M","SSB","59","","Y","E","Y","KN10ML",,,,,,,,,,,,,,,,,,,,,
"RK3DXW","20070319","1556",,"20M","SSB","59","","Y","E","Y","KO95fl",,,,,,,,,,,,,,,,,,,,,
"UR5MID","20070401","1803",,"20M","SSB","59","","Y","E","Y","KN98pm",,,,,,,,,,,,,,,,,,,,,
"4Z5PG","20070402","1432",,"20M","SSB","59","","Y","E","Y","KM72KD",,,,,,,,,,,,,,,,,,,,,
"GP4BJC/P","20070407","1053",,"40M","SSB","59","","Y","E","Y","IN89",,,,,,,,,,,,,,,,,,,,"Many thanks for the contact on 40 Metres. Regards, Lionel,  MU0GSY",
"EW8AM","20070411","1408",,"20M","SSB","59","","Y","E","Y","KO52AA",,,,,,,,,,,,,,,,,,,,"Good Luck! 73!",
"5B4AIF","20070413","1734",,"20M","SSB","59","","Y","E","Y","km64hv",,,,,,,,,,,,,,,,,,,,,
"DL1TM","20070415","1646",,"40M","SSB","59","","Y","E","Y","JO41EV",,,,,,,,,,,,,,,,,,,,,
"OZ/DL1TM","20070415","1646",,"40M","SSB","59","","Y","E","Y","JO47VK",,,,,,,,,,,,,,,,,,,,,
"TA3D","20070415","2010",,"20M","SSB","59","","Y","E",,"km38dg",,,,,,,,,,,,,,,,,,,,,
"A41MX","20070415","2018",,"20M","SSB","","","Y","E","Y","ll93gl",,,,,,,,,,,,,,,,,,,,,
"A41MX","20070415","2027",,"20M","SSB","59","","Y","E","Y","ll93gl",,,,,,,,,,,,,,,,,,,,,
