
YEAR AM ARDOP ATV C4FM CHIP CLO CONTESTI CW  DIGITALVOICE DOMINO DSTAR FAX FM FSK441 FT8  HELL ISCAT JT4 JT6M JT9 JT44 JT65 MFSK MSK144 MT63 OLIVIA OPERA PAC PAX PKT PSK PSK2K Q15 QRA64 ROS RTTY RTTYM SSB SSTV T10 THOR THRB TOR V4 VOI WINMOR WSPR AMTORFEC ASCI CHIP64 CHIP128 DOMINOF FMHELL FSK31 GTOR HELL80 HFSK JT4A JT4B JT4C JT4D JT4E JT4F JT4G JT65A JT65B JT65C MFSK8 MFSK16 PAC2 PAC3 PAX2 PCW PSK10 PSK31 PSK63 PSK63F PSK125 PSKAM10 PSKAM31 PSKAM50 PSKFEC31 PSKHELL QPSK31 QPSK63 QPSK125 THRBX
---- -- ----- --- ---- ---- --- -------- --  ------------ ------ ----- --- -- ------ ---  ---- ----- --- ---- --- ---- ---- ---- ------ ---- ------ ----- --- --- --- --- ----- --- ----- --- ---- ----- --- ---- --- ---- ---- --- -- --- ------ ---- -------- ---- ------ ------- ------- ------ ----- ---- ------ ---- ---- ---- ---- ---- ---- ---- ---- ----- ----- ----- ----- ------ ---- ---- ---- --- ----- ----- ----- ------ ------ ------- ------- ------- -------- ------- ------ ------ ------- -----
1995 0  0     0   0    0    0   0        0   0            0      0     0   2  0      0    0    0     0   0    0   0    0    0    0      0    0      0     0   0   0   0   0     0   0     0   0    0     0   0    0   0    0    0   0  0   0      0    0        0    0      0       0       0      0     0    0      0    0    0    0    0    0    0    0    0     0     0     0     0      0    0    0    0   0     0     0     0      0      0       0       0       0        0       0      0      0       0    
1996 0  0     0   0    0    0   0        0   0            0      0     0   1  0      0    0    0     0   0    0   0    0    0    0      0    0      0     0   0   0   0   0     0   0     0   0    0     0   0    0   0    0    0   0  0   0      0    0        0    0      0       0       0      0     0    0      0    0    0    0    0    0    0    0    0     0     0     0     0      0    0    0    0   0     0     0     0      0      0       0       0       0        0       0      0      0       0    
1998 0  0     0   0    0    0   0        2   0            0      0     0   1  0      0    0    0     0   0    0   0    0    0    0      0    0      0     0   0   0   0   0     0   0     0   0    0     36  1    0   0    0    0   0  0   0      0    0        0    0      0       0       0      0     0    0      0    0    0    0    0    0    0    0    0     0     0     0     0      0    0    0    0   0     0     0     0      0      0       0       0       0        0       0      0      0       0    
1999 1  0     0   0    0    0   0        0   0            0      0     0   0  0      0    0    0     0   0    0   0    0    0    0      0    0      0     0   0   0   0   0     0   0     0   0    0     5   0    0   0    0    0   0  0   0      0    0        0    0      0       0       0      0     0    0      0    0    0    0    0    0    0    0    0     0     0     0     0      0    0    0    0   0     0     0     0      0      0       0       0       0        0       0      0      0       0    
2000 0  0     0   0    0    0   0        0   0            0      0     0   0  0      0    0    0     0   0    0   0    0    0    0      0    0      0     0   0   0   0   0     0   0     0   0    0     2   0    0   0    0    0   0  0   0      0    0        0    0      0       0       0      0     0    0      0    0    0    0    0    0    0    0    0     0     0     0     0      0    0    0    0   0     0     0     0      0      0       0       0       0        0       0      0      0       0    
2001 0  0     0   0    0    0   0        0   0            0      0     0   0  0      0    0    0     0   0    0   0    0    0    0      0    0      0     0   0   0   0   0     0   0     0   0    0     0   0    0   0    0    0   0  0   0      0    0        0    0      0       0       0      0     0    0      0    0    0    0    0    0    0    0    0     0     0     0     0      0    0    0    0   0     1     0     0      0      0       0       0       0        0       0      0      0       0    
2002 0  0     0   0    0    0   0        0   0            0      0     0   0  0      0    0    0     0   0    0   0    0    0    0      0    0      0     0   0   0   0   0     0   0     0   0    0     2   0    0   0    0    0   0  0   0      0    0        0    0      0       0       0      0     0    0      0    0    0    0    0    0    0    0    0     0     0     0     0      0    0    0    0   0     0     0     0      0      0       0       0       0        0       0      0      0       0    
2004 0  0     0   0    0    0   0        0   0            0      0     0   0  0      0    0    0     0   0    0   0    0    0    0      0    0      0     0   0   0   0   0     0   0     0   0    0     8   0    0   0    0    0   0  0   0      0    0        0    0      0       0       0      0     0    0      0    0    0    0    0    0    0    0    0     0     0     0     0      0    0    0    0   0     0     0     0      0      0       0       0       0        0       0      0      0       0    
2005 0  0     0   0    0    0   0        0   0            0      0     0   10 0      0    0    0     0   0    0   0    0    0    0      0    0      0     0   0   0   0   0     0   0     0   0    0     191 0    0   0    0    0   0  0   0      0    0        0    0      0       0       0      0     0    0      0    0    0    0    0    0    0    0    0     0     0     0     0      0    0    0    0   0     0     0     0      0      0       0       0       0        0       0      0      0       0    
